,brand,price,CPU,Ram,ROM,display_size,OS,warranty,GPU_encoded,Processor_encoded
569,1,49990,28,16,1000,14.0,0,1,3,60
570,9,59990,19,8,512,15.6,0,1,103,45
571,5,91990,24,16,1000,15.6,0,1,59,48
572,5,95689,8,16,1000,16.0,0,1,44,12
573,1,26732,16,8,128,14.0,6,1,7,144
574,0,89999,28,16,512,14.0,0,1,1,29
575,5,69990,24,16,1000,14.0,0,1,11,72
576,5,65391,19,16,1000,14.0,0,1,11,56
577,2,90000,24,16,512,14.0,4,1,11,145
578,2,38390,18,8,512,15.6,0,1,1,1
579,2,40990,28,8,512,15.6,0,1,58,96
580,2,50990,28,8,512,15.6,0,1,104,146
581,4,47990,28,8,512,15.6,0,1,1,29
582,4,59990,1,16,512,15.6,0,1,105,35
583,4,61990,1,8,512,15.6,0,1,106,63
584,2,31990,28,8,512,14.0,0,1,51,10
585,9,129990,8,32,1000,16.0,0,2,5,87
586,2,49989,1,8,512,15.6,0,1,7,35
587,4,42990,19,8,512,15.6,0,1,11,18
588,9,259990,8,32,1000,16.0,0,2,107,87
589,2,44690,15,8,512,15.6,0,1,1,68
590,2,61990,19,16,512,14.0,0,1,16,76
591,0,123300,1,16,1000,16.0,0,1,2,7
592,4,74499,1,16,1000,15.6,0,1,1,63
593,2,47990,28,8,512,15.6,0,1,62,69
594,2,85990,24,16,1000,13.3,0,1,11,34
595,2,61990,24,16,512,14.0,0,1,51,108
596,7,21990,17,8,256,14.1,0,1,108,57
597,0,49990,19,8,512,15.6,0,1,0,64
598,2,112990,24,16,512,16.0,0,1,5,43
599,2,127990,24,16,512,16.0,0,1,28,43
600,0,91590,1,16,512,14.0,0,1,3,147
601,0,103060,6,16,512,15.6,0,1,5,44
602,0,39600,28,8,512,15.6,0,1,16,10
603,2,137590,24,16,512,16.0,0,1,28,43
604,2,53980,24,16,512,16.0,0,1,16,34
605,1,54990,19,16,512,14.0,0,1,11,148
606,5,28099,16,8,512,15.6,7,1,109,149
607,0,415000,1,16,1000,17.0,0,1,2,150
608,25,64990,1,16,512,13.3,0,2,2,151
609,25,84990,1,16,1000,13.3,0,2,2,21
610,21,52999,28,16,1000,15.6,0,1,1,60
611,21,34999,17,8,512,15.6,0,1,1,2
612,5,65990,24,16,1000,15.6,0,1,97,138
613,0,56990,19,8,512,15.6,0,1,12,45
614,2,88999,28,16,1000,15.6,4,1,2,29
615,2,35990,17,8,512,15.6,0,1,1,2
616,2,111490,6,16,512,14.0,0,1,44,39
617,0,50990,1,8,512,15.6,0,1,2,35
618,2,89500,1,16,512,15.6,0,1,2,35
619,2,66388,19,16,512,14.0,0,1,11,76
